75594,382
10997,1181
75595,392
10998,805
75592,369
10999,348
75593,355
22529,1142
75598,809
22528,381
75599,1316
22527,384
75596,843
22526,277
75597,363
22525,380
22524,395
22523,628
10990,608
22522,437
10991,256
22521,137
10992,1130
22520,369
10993,137
10994,383
10995,584
10996,358
75591,370
75590,379
75581,396
22519,385
75582,1138
22518,1045
75583,374
75584,1146
75585,372
22515,384
75586,75
22514,381
75587,1164
22517,834
75588,374
22516,385
75589,367
22511,376
22510,390
22513,391
22512,413
3,191
2,387
1,865
7,211
6,1110
5,623
4,1079
9,1262
8,276
75580,392
75576,391
22506,368
187602,369
75577,345
22505,916
187603,368
75574,220
22504,700
187604,363
75575,382
22503,379
187605,374
75572,398
187606,387
75573,911
22509,597
187607,1005
75570,863
22508,705
187608,381
75571,982
22507,1163
187609,404
22502,266
22501,355
75578,379
22500,376
187600,370
75579,522
187601,367
75563,444
187615,289
75564,184
187616,866
75565,386
187613,368
75566,397
187614,376
187619,370
75560,395
75561,388
187617,360
75562,1140
187618,443
75567,379
187611,369
75568,431
187612,382
75569,1143
187610,791
10950,343
10952,380
10951,347
10954,366
10953,396
10956,365
10955,344
10958,361
10957,379
10959,356
112800,410
112801,383
112808,395
112809,570
112806,387
112807,1108
112804,389
112805,378
112802,375
112803,388
10963,409
10962,353
10961,360
10960,351
10967,372
10966,940
10965,397
10964,370
10969,382
10968,373
10972,382
10971,359
10974,383
10973,361
10970,1029
10979,416
10976,347
10975,1161
10978,294
10977,1349
10985,380
10984,378
10983,383
10982,1202
10981,346
10980,364
10989,444
10988,386
10987,402
10986,689
172104,376
172103,379
172106,377
172105,388
112847,907
172108,361
112846,434
172107,359
112849,606
112848,381
172109,176
112843,453
112842,485
112845,385
112844,383
172100,377
112841,463
172102,379
112840,383
172101,374
22592,371
22593,972
22590,381
22591,371
112839,950
112838,378
112837,395
112836,610
112835,587
112834,383
112833,88
112832,1012
112831,381
112830,345
22599,817
22598,178
22597,389
22596,420
22595,138
22594,860
112825,442
112824,509
172129,371
112827,383
112826,1213
112829,912
172126,374
22580,413
112828,1023
172125,362
22581,370
172128,325
22582,379
172127,372
172122,377
172121,387
172124,379
172123,382
112821,600
112820,1100
112823,380
172120,376
112822,218
22584,376
22583,928
22586,383
22585,381
22588,374
22587,386
22589,1028
112816,489
112815,580
112814,228
172119,380
112813,420
172118,1155
22570,380
172117,403
22571,880
112819,451
172116,516
112818,389
172115,1155
112817,267
172114,377
172113,358
172112,359
172111,379
172110,363
112812,205
112811,534
112810,1115
22575,384
22574,216
22573,200
22572,592
22579,205
22578,226
22577,285
22576,380
112886,371
112887,369
112888,369
112889,545
112882,358
112883,356
112884,367
112885,365
22560,377
22565,388
22566,381
22567,387
22568,390
22561,388
22562,387
22563,374
22564,226
112890,860
112892,940
112891,376
22569,378
112877,382
112878,385
112875,380
112876,379
112873,369
112874,391
112871,872
112872,221
112879,625
22556,385
22557,360
22554,381
22555,372
22552,853
22553,383
22550,216
22551,376
112881,386
112880,902
22558,901
22559,365
112860,237
112861,922
112862,482
112863,266
112864,468
112865,1322
112866,443
112867,233
112868,378
112869,391
22540,386
22541,389
22542,1347
22543,377
22544,385
22545,373
22546,377
22547,375
22548,1243
22549,833
112870,17
112851,277
112852,286
112850,388
112855,241
112856,632
112853,381
112854,427
112859,378
112857,549
112858,79
22530,381
22531,386
22534,420
22535,378
22532,372
22533,377
22538,861
22539,377
22536,372
22537,381
82248,385
82249,385
172060,370
172061,397
82244,859
82245,1097
82246,379
82247,181
82240,1079
82241,851
82242,907
82243,390
172059,377
172056,388
172055,393
172058,374
172057,393
172052,353
172051,389
172054,377
172053,385
82239,391
172071,1114
172072,274
82237,894
82238,376
172070,347
82235,393
82236,225
82233,378
82234,384
82231,892
82232,1132
82230,467
172069,374
172068,380
172067,386
172066,382
172065,375
172064,321
172063,384
172062,390
82222,314
82223,385
82224,383
82225,283
82226,438
172080,612
82227,878
172081,347
82228,375
172082,1159
82229,379
172083,374
82220,320
82221,960
112898,387
172074,382
82219,379
112897,341
172073,342
172076,190
112899,401
172075,1072
112894,494
172078,191
112893,961
172077,340
112896,362
112895,397
172079,843
82213,587
82214,973
172090,373
82211,802
82212,192
82217,679
172093,394
82218,1342
172094,379
82215,170
172091,373
82216,381
172092,363
82210,352
172087,391
172086,370
82209,197
172085,371
82208,600
172084,1031
172089,848
172088,373
187597,376
187596,155
187595,409
187594,386
187599,370
187598,355
82205,377
82204,395
82207,1185
82206,1114
82201,148
82200,243
82203,260
82202,837
172011,372
172012,366
172013,394
172014,369
172010,388
172019,406
172015,373
172016,351
172017,376
172018,354
187584,385
187583,867
187586,371
187585,374
187588,397
187587,364
187589,177
172024,1085
172025,1128
172022,1489
172023,356
172020,363
172021,1069
172028,378
187590,376
172029,1177
187591,373
172026,374
187592,381
172027,379
187593,383
22499,372
22495,893
22496,434
22497,369
22498,377
172030,379
172031,349
172032,1326
172033,432
172034,140
172035,374
172036,374
22492,376
172037,362
22491,400
172038,1097
22494,1144
172039,1070
22493,394
22490,367
172050,348
172042,392
172043,393
172040,360
172041,352
172046,378
172047,392
172044,380
172045,390
172048,380
172049,395
187560,368
10918,375
10917,364
10919,386
10924,377
187558,1362
75500,385
10925,403
187559,145
10926,1105
10927,367
10920,371
10921,598
10922,365
